,Unnamed: 0,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
50,50.0,Ray Ban RB3025 019/Z2 55mm Brown Mirror Pink Aviator Sunglasses Bundle-2 Items,https://www.shophive.com/ray-ban-rb3025-019-z2-55mm-brown-mirror-pink-aviator-sunglasses-bundle-2-items,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/5/1/519.jpg,"Rs 24,999",None,Fashion,Shophive
51,51.0,Ray Ban Authentic Aviator Rb 3025 112/p9 58mm Matte Gold / Green Mirror Polarized,https://www.shophive.com/ray-ban-authentic-aviator-rb-3025-112-p9-58mm-matte-gold-green-mirror-polarized,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/5/4/546.jpg,"Rs 24,249",None,Fashion,Shophive
52,52.0,Ray-Ban RB3025 003/3F 55mm Silver / Crystal Gradient Light Blue,https://www.shophive.com/ray-ban-rb3025-003-3f-55mm-silver-crystal-gradient-light-blue,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/2/627.jpg,"Rs 21,449",None,Fashion,Shophive
53,53.0,Ray Ban RB4171 865/13 54mm Havana Erika Sunglasses Bundle - 2 Items,https://www.shophive.com/ray-ban-rb4171-865-13-54mm-havana-erika-sunglasses-bundle-2-items,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/3/634.jpg,"Rs 17,499",None,Fashion,Shophive
54,54.0,Tommy Hilfiger Men's Casual Fabric Belt with Ribbon Overlay and Leather Tabs,https://www.shophive.com/tommy-hilfiger-men-s-casual-fabric-belt-with-ribbon-overlay-and-leather-tabs,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/3/7/37_1_2.jpg,"Rs 7,869",None,Fashion,Shophive
55,55.0,Tommy Hilfiger Men's Casual Belt With Double Edge Stitch and Printed Madras Back,https://www.shophive.com/tommy-hilfiger-men-s-casual-belt-with-double-edge-stitch-and-printed-madras-back,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/4/1/41_3_1.jpg,"Rs 9,899",None,Fashion,Shophive
56,56.0,Calvin Klein Men's 38mm Flat Strap with Emboss Logo and Buckle,https://www.shophive.com/calvin-klein-men-s-38mm-flat-strap-with-emboss-logo-and-buckle-10175,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/1/712p8tc7gul._ux466_.jpg,"Rs 7,399",None,Fashion,Shophive
57,57.0,Calvin Klein Men's Feather Edge Leather Belt With Plaque Buckle,https://www.shophive.com/calvin-klein-men-s-feather-edge-leather-belt-with-plaque-buckle,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/1/61tvb6vqx7l._ux466_.jpg,"Rs 9,299",None,Fashion,Shophive
58,58.0,"Calvin Klein 73890 Brown, Size 42",https://www.shophive.com/calvin-klein-73890-brown-size-42,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/d/o/download_4__1_2.jpg,"Rs 7,819",None,Fashion,Shophive
59,59.0,Dickies Men's 35mm Reversible Belt,https://www.shophive.com/dickies-men-s-35mm-reversible-belt,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/_/7_7_1.jpg,"Rs 7,429",None,Fashion,Shophive
