,Category,Link
435,Pakistani & Traditional Clothing,https://www.ishopping.pk/women-s-store/women-s-clothing/pakistani-traditional-clothing.html
436,Pans and Toasters,https://www.ishopping.pk/home-and-living/kitchen-appliances/pans-and-toasters.html
437,Paper Products,https://www.ishopping.pk/books/stationery-crafts/paper-products.html
438,Paper Roll,https://www.ishopping.pk/office-media/office-paper/paper-roll.html
439,Paper Shredder,https://www.ishopping.pk/office-media/electronic-office-equipment/paper-shredder.html
440,Party Supplies & Dress Up,https://www.ishopping.pk/kids-store/kids-toys/party-supplies-dress-up.html
441,Paulareis P,https://www.ishopping.pk/mens-store/men-s-watches/paulareis-p.html
442,Peak Flow Meter,https://www.ishopping.pk/health-beauty/health-care/peak-flow-meter.html
443,Pendants,https://www.ishopping.pk/women-s-store/women-s-jewellery/pendants.html
444,Pens ,https://www.ishopping.pk/office-media/writing-supplies/pens.html
